大类/ Main Category,中类NO.,中类,小类NO.,小类名称,类型代码（新）
,,,2,珠宝首饰工艺品,61202
,,,3,钟表店,61203
,,,4,眼镜店,61204
,,,5,书店,61205
,,,6,音像店,61206
,,,7,儿童用品店,61207
,,,8,自行车专卖店,61208
,,,9,礼品饰品店,61209
,,,10,烟酒专卖店,61210
,,,11,宠物用品店,61211
,,,12,摄影器材店,61212
,,,13,宝马生活方式,61213
,13,特殊买卖场所,0,特殊买卖场所,61300
,,,1,拍卖行,61301
,,,2,典当行,61302
07 生活服务 / Daily Life Service,0,生活服务场所,0,生活服务场所,70000
,1,旅行社,0,旅行社,70100
,2,信息咨询中心,0,信息咨询中心,70200
,3,售票处,0,其它售票处,70300
,,,1,飞机票代售点,70301
,,,2,火车票代售点,70302
,,,3,长途汽车票代售点,70303
,,,4,船票代售点,70304
,,,5,公交卡/月票代售点,70305
,,,6,公园景点售票处,70306
,4,邮局,0,邮局,70400
,,,1,邮政速递,70401
,5,物流速递,0,物流速递,70500
,6,电讯营业厅,0,电讯营业厅,70600
,,,1,中国电信营业厅,70601
,,,2,中国网通营业厅,70602
,,,3,中国移动营业厅,70603
,,,4,中国联通营业厅,70604
,,,5,中国铁通营业厅,70605
,,,6,中国卫通营业厅,70606
,,,7,和记电讯,70607
,,,8,数码通电讯,70608
,,,9,电讯盈科,70609
,7,事务所,0,其它事务所,70700
,,,1,律师事务所,70701
,,,2,会计师事务所,70702
,,,3,评估事务所,70703
,,,4,审计事务所,70704
,,,5,认证事务所,70705
,,,6,专利事务所,70706
,8,人才市场,0,人才市场,70800
,9,自来水营业厅,0,自来水营业厅,70900
,10,电力营业厅,0,电力营业厅,71000
,11,美容美发店,0,美容美发店,71100
,12,维修站点,0,维修站点,71200
,13,摄影冲印店,0,摄影冲印,71300
,14,洗浴推拿场所,0,洗浴推拿场所,71400
,15,洗衣店,0,洗衣店,71500
,16,中介机构,0,中介机构,71600
,17,搬家公司,0,搬家公司,71700
,18,彩票彩券销售点,0,彩票彩券销售点,71800
,,,1,马会投注站,71801
,19,丧葬设施,0,丧葬设施,71900
,,,1,陵园,71901
,,,2,公墓,71902
,,,3,殡仪馆,71903
08 体育休闲服务/ Sports & Recreation,0,体育休闲服务场所,0,体育休闲服务场所,80000
,1,运动场馆,0,其它运动场所,80100
,,,1,综合体育馆,80101
,,,2,保龄球馆,80102
,,,3,网球场,80103
,,,4,篮球场馆,80104
,,,5,足球场,80105
,,,6,滑雪场,80106
,,,7,溜冰场,80107
,,,8,户外健身场所,80108
,,,9,海滨浴场,80109
,,,10,游泳馆,80110
,,,11,健身中心,80111
,,,12,乒乓球馆,80112
,,,13,台球厅,80113
,,,14,壁球场,80114
,,,15,马术俱乐部,80115
,,,16,赛马场,80116
,,,17,橄榄球场,80117
,2,高尔夫相关,0,高尔夫相关,80200
,,,1,高尔夫球场,80201
,,,2,高尔夫练习场,80202
,3,娱乐场所,0,娱乐场所,80300
,,,1,夜总会,80301
,,,2,KTV,80302
,,,3,迪厅,80303
,,,4,酒吧,80304
,,,5,游戏厅,80305
,,,6,棋牌室,80306
,,,7,博采中心,80307
,,,8,网吧,80308
,4,度假疗养场所,0,度假疗养场所,80400
,,,1,度假村,80401
,,,2,疗养院,80402
,5,休闲场所,0,休闲场所,80500
,,,1,游乐场,80501
,,,2,垂钓园,80502
,,,3,采摘园,80503
,,,4,露营地,80504
,6,影剧院,0,影剧院相关,80600
,,,1,电影院,80601
,,,2,音乐厅,80602
,,,3,剧场,80603
09 医疗保健服务/ Medical Service,0,医疗保健服务场所,0,医疗保健服务场所,90000
,1,综合医院,0,综合医院,90100
